week_end,jurisdiction,respiratory_season,inpatient_beds,inpatient_beds_occupied,inpatient_occupancy_pct,icu_beds,icu_beds_occupied,icu_occupancy_pct,covid_new_admissions,flu_new_admissions,rsv_new_admissions,hospitals_reporting_occupancy,hospitals_reporting_occupancy_pct
2025-01-18,MN,,10308,7974,77.36,1285,1042,81.09,324,920,212,121,90.98
2025-01-18,MO,,13571,11042,81.36,2389,1938,81.12,235,471,152,104,83.20
2025-01-18,MP,,,,,,,,,,,0,0.00
2025-01-18,MS,,8070,5709,70.74,1134,767,67.64,102,222,48,88,83.02
2025-01-18,MT,,2676,1674,62.56,288,148,51.39,35,79,12,49,77.78
2025-01-18,NC,,23394,18633,79.65,3855,3046,79.01,400,1059,455,118,87.41
2025-01-18,ND,,2101,1483,70.59,262,197,75.19,22,57,7,47,95.92
2025-01-18,NE,,5308,3415,64.34,732,424,57.92,76,124,42,87,88.78
2025-01-18,NH,,2368,1943,82.05,160,126,78.75,70,74,31,25,96.15
2025-01-18,NJ,,20356,15033,73.85,2795,1861,66.58,508,1239,452,83,97.65
2025-01-18,NM,,3645,1909,52.37,486,362,74.49,106,245,66,36,73.47
2025-01-18,NV,,7199,5418,75.26,1358,938,69.07,54,187,73,42,82.35
2025-01-18,NY,,43058,35925,83.43,5713,4437,77.66,831,2546,690,185,90.24
2025-01-18,OH,,29278,21709,74.15,4729,3424,72.40,833,1130,484,196,91.59
2025-01-18,OK,,6821,4895,71.76,864,607,70.25,138,317,82,103,73.05
2025-01-18,OR,,7320,5634,76.97,960,737,76.77,81,284,72,57,91.94
2025-01-18,PA,,28381,22537,79.41,4095,3314,80.93,1599,2370,1024,187,85.78
2025-01-18,PR,,1336,833,62.35,92,83,90.22,12,31,10,5,9.26
2025-01-18,Region 1,,31755,26351,82.98,3492,2662,76.23,851,1295,425,191,91.83
2025-01-18,Region 10,,22302,18235,81.76,3080,2442,79.29,204,945,268,210,91.30
2025-01-18,Region 2,,64870,51860,79.94,8613,6389,74.18,1351,3816,1152,274,79.19
2025-01-18,Region 3,,67177,52563,78.25,9690,7504,77.44,2272,3558,1419,405,89.80
2025-01-18,Region 4,,162851,127277,78.16,24862,19221,77.31,2096,6829,1940,953,87.11
2025-01-18,Region 5,,107681,80375,74.64,15714,11557,73.55,3273,4910,1880,885,89.12
2025-01-18,Region 6,,94763,68090,71.85,15802,11557,73.14,1049,3620,1053,761,78.94
2025-01-18,Region 7,,33306,24609,73.89,5042,3766,74.69,570,1028,338,412,84.60
2025-01-18,Region 8,,25668,16361,63.74,3809,2351,61.72,351,830,324,330,91.92
2025-01-18,Region 9,,83437,65803,78.87,12969,9339,72.01,1183,4403,1116,495,85.49
2025-01-18,RI,,2398,2001,83.44,256,214,83.59,68,107,37,12,100.00
2025-01-18,SC,,11280,8836,78.33,1502,1179,78.50,168,585,168,65,87.84
2025-01-18,SD,,2564,1806,70.44,355,184,51.83,34,53,6,58,95.08
2025-01-18,TN,,18662,14184,76.00,3117,2257,72.41,252,565,170,122,91.73
2025-01-18,TX,,62260,46889,75.31,11076,8208,74.11,586,2380,666,413,79.42
2025-01-18,USA,,693810,531524,76.61,103073,76788,74.50,13200,31234,9915,4916,86.08
2025-01-18,UT,,5267,3340,63.41,891,570,63.97,49,175,97,53,94.64
2025-01-18,VA,,18207,12974,71.26,2670,1781,66.70,270,472,134,96,95.05
2025-01-18,VI,,120,69,57.50,13,8,61.54,0,0,0,1,50.00
2025-01-18,VT,,987,777,78.72,97,87,89.69,33,39,11,13,86.67
2025-01-18,WA,,11248,9789,87.03,1554,1311,84.36,83,499,146,95,97.94
2025-01-18,WI,,10431,8155,78.18,1606,1185,73.79,380,547,178,133,90.48
2025-01-18,WV,,5509,4269,77.49,800,670,83.75,143,133,92,59,100.00
2025-01-18,WY,,1039,426,41.00,100,38,38.00,47,86,19,25,83.33
2025-01-25,AK,,1201,925,77.02,195,126,64.62,5,25,18,17,70.83
2025-01-25,AL,,12315,9671,78.53,2339,1855,79.31,178,632,73,97,97.00
2025-01-25,AR,,8564,4614,53.88,1090,711,65.23,77,278,62,69,75.00
2025-01-25,AS,,,,,,,,,,,0,0.00
2025-01-25,AZ,,8998,6518,72.44,1477,1012,68.52,159,584,249,77,77.78
2025-01-25,CA,,63341,50504,79.73,9624,6963,72.35,901,3823,766,348,87.66
2025-01-25,CO,,12160,7813,64.25,1928,1255,65.09,164,451,217,94,94.00
2025-01-25,CT,,8178,6103,74.63,1123,792,70.53,159,387,106,31,96.88
2025-01-25,DC,,2476,2063,83.32,497,405,81.49,29,203,7,8,72.73
2025-01-25,DE,,1801,1494,82.95,204,174,85.29,16,80,35,8,72.73
2025-01-25,FL,,53106,42688,80.38,7021,5410,77.05,580,2936,483,242,88.00
2025-01-25,GA,,22114,16716,75.59,3413,2688,78.76,203,1175,171,129,80.63
2025-01-25,GU,,154,132,85.71,18,12,66.67,1,3,1,1,50.00
2025-01-25,HI,,2222,1779,80.06,263,188,71.48,11,81,17,21,75.00
2025-01-25,IA,,7302,4944,67.71,859,629,73.22,160,293,99,107,87.70
